Entry	Length	Protein families	Keywords
P0DUR3	15	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin
P0DUR4	15	Conotoxin M superfamily	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin
P0DUS2	35	Limacoditoxin-1 (ACP-like) family	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0DUS3	35	Limacoditoxin-1 (ACP-like) family	Amidation;Direct protein sequencing;G-protein coupled receptor impairing toxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0DUS4	36	Limacoditoxin-1 (ACP-like) family	Amidation;Direct protein sequencing;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0DUS5	57	Limacoditoxin-2 (cecropin-like) family	Antibiotic;Antimicrobial;Direct protein sequencing;Secreted;Signal;Toxin
P0DUS6	60	Limacoditoxin-2 (cecropin-like) family	Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;Secreted;Signal;Toxin
P0DUS7	56	Limacoditoxin-22 family	Direct protein sequencing;Disulfide bond;Knottin;Secreted;Signal;Toxin
P0DUS8	59	Limacoditoxin-3 family	Direct protein sequencing;Disulfide bond;Knottin;Secreted;Signal;Toxin
P0DUS9	59	Limacoditoxin-3 family	Direct protein sequencing;Secreted;Signal;Toxin
P0DUT0	46	Limacoditoxin-6 family	Direct protein sequencing;Secreted;Signal;Toxin
P0DUT1	36	Limacoditoxin-7 family	Direct protein sequencing;Secreted;Signal;Toxin
P0DUT2	158	Diuretic hormone class 2 family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Repeat;Secreted;Signal;Toxin
P0DUT3	29	Limacoditoxin-12 family	Amidation;Direct protein sequencing;Secreted;Signal;Toxin
P0DUT4	35	Limacoditoxin-13 family	Amidation;Direct protein sequencing;Secreted;Signal;Toxin
P0DUT5	37	Limacoditoxin-13 family	Amidation;Direct protein sequencing;Secreted;Signal;Toxin
P0DUT6	66	Limacoditoxin-59 family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Repeat;Secreted;Signal;Toxin
P0DUU1	9		Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
P0DUU2	11		Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
P0DUU3	11		Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin
P0DUU4	11		Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Secreted;Toxin
P0DUV1	10	FARP (FMRFamide related peptide) family	Amidation;Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Proton-gated sodium channel impairing toxin;Secreted;Toxin
P0DUV2	10	FARP (FMRFamide related peptide) family	Amidation;Direct protein sequencing;Neurotoxin;Secreted;Toxin
P0DV13	29	Venom Ptu1-like knottin family	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P0DV16	25	Ponericin-L family	Antibiotic;Antimicrobial;Direct protein sequencing;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DV17	30	Ponericin-G family	Antibiotic;Antimicrobial;Direct protein sequencing;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DV18	31	Ponericin-G family	Antibiotic;Antimicrobial;Direct protein sequencing;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DV30	32	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DV31	100	Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P0DV32	103	Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily	Calcium channel impairing toxin;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0DV64	15		Amidation;G-protein coupled receptor impairing toxin;Secreted;Toxin
P0DV78	116	Flavin monoamine oxidase family, FIG1 subfamily	Antibiotic;Antimicrobial;Apoptosis;Cytolysis;Direct protein sequencing;Disulfide bond;FAD;Flavoprotein;Glycoprotein;Hemolysis;Hemostasis impairing toxin;Nucleotide-binding;Oxidoreductase;Secreted;Toxin
P0DV80	12	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Secreted;Toxin
P0DV81	10	Bradykinin-potentiating peptide family	Direct protein sequencing;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DV82	45	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Myotoxin;Secreted;Toxin
P0DV95	84	Neurotoxin 10 (Hwtx-1) family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DV96	74	Neurotoxin 10 (Hwtx-1) family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DW17	82	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW18	93	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Secreted;Signal;Toxin
P0DW19	78	Conotoxin C superfamily, Consomatin family	Cleavage on pair of basic residues;D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Gamma-carboxyglutamic acid;Hydroxylation;Secreted;Signal;Toxin
P0DW20	74	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW21	80	Conotoxin C superfamily, Consomatin family	Cleavage on pair of basic residues;D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW22	70	Conotoxin C superfamily, Consomatin family	Amidation;D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW23	82	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW24	83	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW25	78	Conotoxin C superfamily, Consomatin family	Cleavage on pair of basic residues;D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW26	82	Conotoxin C superfamily, Consomatin family	D-amino acid;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin
P0DW29	37	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily	Cell adhesion impairing toxin;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Platelet aggregation inhibiting toxin;Secreted;Toxin
P0DW30	62	Venom metalloproteinase (M12B) family, P-II subfamily, P-IIa sub-subfamily	Cell adhesion impairing toxin;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Platelet aggregation inhibiting toxin;Secreted;Toxin
P0DW31	20	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DW73	79	Conotoxin O1 superfamily	Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
P0DW74	80	Conotoxin O1 superfamily	Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
P0DW75	79	Conotoxin O1 superfamily	Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
P0DW76	79	Conotoxin O1 superfamily	Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
P0DW77	79	Conotoxin O1 superfamily	Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
P0DW78	79	Conotoxin O1 superfamily	Disulfide bond;Hydroxylation;Ion channel impairing toxin;Knottin;Secreted;Signal;Toxin
P0DW83	38	Conotoxin O1 superfamily	Amidation;Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Presynaptic neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P0DW84	65	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 23 subfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0DW95	36	Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DW96	36	Neurotoxin 10 (Hwtx-1) family	3D-structure;Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P0DW97	110	PDGF/VEGF growth factor family, Snake venom VEGF subfamily	Direct protein sequencing;Disulfide bond;Growth factor;Pyrrolidone carboxylic acid;Secreted;Toxin
P0DW98	143	PDGF/VEGF growth factor family, Snake venom VEGF subfamily	Direct protein sequencing;Disulfide bond;Growth factor;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0DX20	38	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0DX31	14	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DX32	14	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DX35	14	MCD family, Mastoparan subfamily	Amidation;Cytolysis;Direct protein sequencing;G-protein coupled receptor impairing toxin;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0DX46	14	MCD family, Mastoparan subfamily	Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0DX47	32	FARP (FMRFamide related peptide) family	Amidation;Secreted;Signal;Toxin
P0DX48	33	FARP (FMRFamide related peptide) family	Amidation;Secreted;Signal;Toxin
P0DX49	39	FARP (FMRFamide related peptide) family	Amidation;G-protein coupled receptor impairing toxin;Secreted;Signal;Toxin
P0DX50	11	Neurotoxin 02 (plectoxin) family	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P0DX51	11	Neurotoxin 03 (Tx2) family, 05 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Knottin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DX56	67	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DX57	17	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DX58	20	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DX59	29	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DX60	78	Formicidae venom precursor-01 superfamily	Amidation;Antimicrobial;Secreted;Signal;Toxin
P0DX61	80	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DX65	9		Amidation;Direct protein sequencing;Ion channel impairing toxin;Secreted;Toxin
P0DX99	98	Neurotoxin 15 family, 02 (omega-actx) subfamily	Amidation;Calcium channel impairing toxin;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P0DXA0	105	Cystatin family	Disulfide bond;Ion channel impairing toxin;Protease inhibitor;Secreted;Signal;Thiol protease inhibitor;Toxin
P0DXA1	71		Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
P0DXT0	62	Three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0DXT1	80	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT2	89	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT3	62	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT4	89	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT5	85	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT6	74	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT7	74	Formicidae venom clade 1 family	Amidation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DXT8	60	Formicidae venom clade 2 family	Amidation;Neurotoxin;Secreted;Signal;Toxin
P0DXT9	60	Formicidae venom clade 2 family	Amidation;Neurotoxin;Secreted;Signal;Toxin
P0DXU0	60	Formicidae venom clade 2 family	Amidation;Neurotoxin;Secreted;Signal;Toxin
P0DXU1	66	Formicidae venom clade 3 family	Amidation;Neurotoxin;Secreted;Signal;Toxin
P0DXU2	52	Formicidae venom clade 4 family	Neurotoxin;Secreted;Signal;Toxin
P0DXU3	55	Formicidae venom clade 4 family	Neurotoxin;Secreted;Signal;Toxin
P0DXW3	98	Caterpillar 1 family	Disulfide bond;Secreted;Signal;Toxin
P0DXW4	55	Caterpillar 2 family	Disulfide bond;Secreted;Signal;Toxin
P0DXW5	81	Caterpillar 3 family	Disulfide bond;Secreted;Signal;Toxin
P0DXW6	41	Caterpillar 4 family	Secreted;Signal;Toxin
P0DXW7	56	Caterpillar 2 family	Amidation;Disulfide bond;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0DXW8	50	Caterpillar 9 family	Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
P0DXW9	41	Caterpillar 11 family	Secreted;Signal;Toxin
P0DXX0	86	Caterpillar 3 family	Disulfide bond;Secreted;Signal;Toxin
P0DXX1	310	Megalysin family	Disulfide bond;Membrane;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0DXX2	287	Megalysin family	Amidation;Disulfide bond;Membrane;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0DXX3	287	Caterpillar 8 family	Disulfide bond;Secreted;Signal;Toxin
P0DXZ4	52		Amidation;Direct protein sequencing;Membrane;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0DXZ5	56		Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0DXZ6	179	Phospholipase A2 family, Group III subfamily	Calcium;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Secreted;Signal;Toxin
P0DXZ7	10		3D-structure;Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P0DY04	72	Non-disulfide-bridged peptide (NDBP) superfamily	Antibiotic;Antimicrobial;Bradykinin receptor impairing toxin;Fungicide;G-protein coupled receptor impairing toxin;Hypotensive agent;Phosphoprotein;Secreted;Signal;Toxin
P0DY18	95	Long chain scorpion toxin family, Class 3 subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P0DY38	76	Sea anemone sodium channel inhibitory toxin family, Type I subfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Nematocyst;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DY39	92	Sea anemone sodium channel inhibitory toxin family	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Nematocyst;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0DY40	123		Disulfide bond;Nematocyst;Secreted;Signal;Toxin
P0DY41	88	Sea anemone type 1 potassium channel toxin family	Disulfide bond;Ion channel impairing toxin;Nematocyst;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0DY55	125	Formicidae venom precursor-01 superfamily	Cytolysis;Disulfide bond;Ion transport;Membrane;Neurotoxin;Secreted;Signal;Target cell membrane;Target membrane;Toxin;Transmembrane;Transport
P0DY99	46	Conotoxin A superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P0DYA9	59	Short scorpion toxin superfamily, Potassium channel inhibitor family	Amidation;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0DYB0	64	Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily	Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
P0DYB1	63	Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 5 subfamily	Amidation;Disulfide bond;Secreted;Signal;Toxin
P0DYB2	62	Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily	Amidation;Disulfide bond;Secreted;Signal;Toxin
